ID,city,feels_like.day,rain,rank
dijon,dijon,302.47875,1,1
colma,colmar,302.1875,1,2
eguis,eguisheim,301.98125,1,3
besan,besancon,301.67875,1,4
chate,chateau-haut-koenigsbourg,299.625,1,5
avign,avignon,306.9525,2,6
nimes,nimes,306.18,2,7
rouen,rouen,303.6125,2,8
aix-p,aix-provence,303.53875,2,9
cassi,cassis,303.01375,2,10
borme,bormes-mimosas,303.01,2,11
amien,amiens,302.9225,2,12
marse,marseille,302.92,2,13
paris,paris,302.8225,2,14
stras,strasbourg,302.8075,2,15
lille,lille,302.80625,2,16
aigue,aigues-mortes,301.8875,2,17
le-ha,le-havre,299.32375,2,18
uzes,uzes,306.1175,3,19
greno,grenoble,305.39625,3,20
colli,collioure,304.13875,3,21
lyon,lyon,303.6025,3,22
mont-,mont-saint-michel,302.1925,3,23
annec,annecy,302.0775,3,24
bayeu,bayeux,301.00375,3,25
saint,saintes-maries,300.26875,3,26
la-ro,la-rochelle,298.9775,3,27
st-ma,st-malo,298.805,3,28
carca,carcassonne,306.35,4,29
monta,montauban,305.24375,4,30
toulo,toulouse,304.93625,5,31
verdo,verdon-gorge,300.38625,6,32
bayon,bayonne,299.44124999999997,6,33
biarr,biarritz,298.45375,6,34
arieg,ariege,298.11625000000004,7,35
